id;data;sfh5711;sfh3400;tsl261r;sfh3410;sfh2430;bp104fas;tsl13s;tsl2569t_c;tsl2569t_ir;tcs3414_r;tcs3414_g;tcs3414_b;tcs3414_c;df01;df02;df03;df04;df05;df06;df07;df08;df09;df10;i1;i2;i3;i4;i5;i6;i7;probmax;energia;entropia;contraste;homogeneidade;correlacao;tipo_lampada;potencia
385;2013-09-12 18:43:03;2559;994;1060;869;883;1943;1915;9834;6492;1387;15683;12728;3753;0,0394786872636356;0,0998472482896787;0,0418367646702877;0,00853248168021387;0,0181979008491297;0,00999896720902267;0,0136197808414519;0,00765096249009975;0,0128273699465897;0,00539114007580512;0,17458602184381;0,00395716642103015;0,000179840567741053;5,19137939582966e-006;1,5694411242784e-010;3,23342551644073e-007;2,30220193901384e-011;0,82826868124179;2,73707429214888;10,0560007266206;-64,9489196042951;3,61664348991877;0,000154634197494069;sodio                                                           ;150
386;2013-09-12 18:43:54;2362;718;874;606;608;1368;1417;6936;4618;943;11127;8961;2557;0,0348153263870073;0,0919152666423974;0,035238179303457;0,00430258328053749;0,0168738329720587;0,00718718409143792;0,017011973157856;0,0102996890007074;0,0161421289471757;0,00778164867447554;0,173128579126413;0,00353151708118124;0,000170189063094787;3,64879917775089e-006;9,05638351314444e-011;2,16303403648378e-007;8,11364698108214e-012;0,819208784067823;2,67692565234367;10,4818606493394;-60,2476031989054;3,59517580450239;0,000148179789436535;sodio                                                           ;150
387;2013-09-12 18:44:40;2558;992;1093;822;864;1902;1947;9628;6329;1331;15623;13237;3666;0,0897353148841521;0,0891221858326939;0,0447601731743024;0,0126239501556922;0,0187232193071364;0,0138966897457036;0,0161408641292401;0,0122918598720681;0,0117818975670858;0,00610260525999734;0,175668987472668;0,00380821825555703;0,000206174901325595;6,4482511455192e-006;2,21760151686679e-010;-1,8975109031835e-007;7,8112864438428e-011;0,830698232574601;2,75457602165808;9,8521219611469;-48,1244557132687;3,63608669587106;0,000164150117101829;sodio                                                           ;150
388;2013-09-12 18:45:53;2460;840;967;708;723;1624;1650;8315;5544;1149;13400;11074;3159;0,0301980173952978;0,0896621256932706;0,0327143096980864;0,00645340402020074;0,0176913709213338;0,00796440406287272;0,0162422149555755;0,00939140832879935;0,0153227657320048;0,00834978928561202;0,172231202591873;0,0031899823850709;0,000192662157205663;3,44306091422611e-006;8,8603744848598e-011;1,94238661562403e-007;-3,6251338864509e-012;0,850341829578052;2,88480628113297;8,81978801718183;-52,5631174010176;3,67410205696299;0,000164564675484641;sodio                                                           ;150
389;2013-09-12 18:46:42;2402;762;910;638;656;1467;1493;7364;4945;1005;11907;9817;2724;0,095329179833316;0,0591003273430733;0,0280560961247703;0,0241911996290412;0,0172551565444628;0,00656014155971905;0,0151399498094882;0,0119697978483196;0,0120512767130743;0,0134654977416134;0,185827725138522;0,000904234719476005;0,000810689429786687;0,000737454426257247;5,15973113113123e-007;-1,78696214217607e-005;2,42701487836404e-007;0,757253904891032;2,28811496516865;12,7948634349788;-33,9799013929627;3,57268015501163;0,000144256943948695;sodio                                                           ;150
390;2013-09-12 18:48:03;2551;975;1123;805;843;1903;1939;9358;6143;1314;15138;12819;3535;0,189544746394229;0,0754666284041531;0,0476839413939016;0,0211958338805421;0,00966519946828007;0,0113413444905746;0,0174433831105022;0,0148270265806673;0,0178900520889166;0,0104702214017544;0,203556571985333;0,00197816566152734;0,0043548593763535;0,00172886102486478;4,67974870738661e-006;-3,63728964738754e-007;7,76965723791416e-007;0,800330400855042;2,55845176012377;11,3571409024884;-40,3605328601463;3,5860468855104;0,000157829720694024;sodio                                                           ;150
391;2013-09-12 18:49:23;2482;869;1006;723;759;1694;1738;8526;5606;1162;13708;11488;3193;0,160489739682379;0,0793315261828913;0,103978240002166;0,0492150228208201;0,0515359065876828;0,0448383581277866;0,0286925321619314;0,0263169418922235;0,0203626617832635;0,00529771642490827;0,214244581820338;0,00281025844957911;0,00532084984404375;0,0017808546629602;5,4180766540063e-006;5,18648588530889e-005;8,34245103123676e-007;0,745577446944744;2,21847157703414;13,4452061457014;-34,0302883776478;3,54822214014208;0,00014175017909149;sodio                                                           ;150
392;2013-09-12 18:50:03;2360;706;886;591;599;1396;1422;6759;4544;923;10901;9236;2547;0,251496326054561;0,0336951403894123;0,0524273986661229;0,021063650676213;0,0166031946642865;0,0155354379617879;0,0148961631262637;0,0167518598912735;0,0183820323115623;0,0139270118243142;0,223789582703114;0,00286917947820152;0,00733845737569542;0,00607526477929937;4,04568740069907e-005;0,000241456587614609;2,95819174313777e-006;0,718285722471016;2,05797698821316;14,4204248914625;-34,8032512117138;3,51349274178209;0,000142893994631919;sodio                                                           ;150
393;2013-09-12 18:50:46;2300;672;885;552;549;1419;1352;6130;4062;825;9825;8523;2433;0,0754612081129995;0,0548934235750599;0,0801528187578399;0,0562985031866981;0,0461726492997413;0,0488017949239942;0,0369041531642598;0,033043596264398;0,025629070301341;0,00575339578723068;0,183907942671838;0,00138438677910726;0,000669540144086358;0,000101269648783276;8,16544472281811e-009;-3,73309227071369e-006;2,50737560610307e-008;0,79625884581032;2,51394583992076;11,2172331158029;-41,137217275888;3,57376118038167;0,000145893479554195;sodio                                                           ;150
394;2013-09-12 18:53:35;2475;842;980;703;733;1619;1689;8209;5437;1121;13212;10916;3000;0,0750240037051293;0,105737113590181;0,0565797696485336;0,0238518202719202;0,0309233057644697;0,0230846752251882;0,0223732027226609;0,0274367205195303;0,0247551649445758;0,0217604744941926;0,182292180651911;0,00460875559386944;0,000380608190778091;2,03834887246559e-005;1,50757065532555e-009;-3,29462292373002e-007;9,75000957421474e-010;0,7795444667084;2,42385524031905;12,4712880205339;-69,7662224959841;3,52696081548918;0,000142589847924063;sodio                                                           ;150
